"","Colony","Fragment","BTag","Phenotype","Treatment","Temperature","Tank","Tile","DaysAlive","Censored","MassG.day0","MassG.day8","MassG.day15","MassG.day22","FvFm.day1","FvFm.day8","FvFm.day15","FvFm.day22","CoralR.day0","CoralR.day1","CoralR.day22","Bacteria","MR.day8","MR.day15","MR.day22"
"407","S10",7,"Y46","Sym","NDF","Elevated (30C)","G4",55,12,"N",0.303,0.286,NA,NA,0.367,0.187,NA,NA,0.32404,0.38686,NA,"SW",-0.00153,NA,NA
"408","S11",8,"Y47","Sym","NDF","Elevated (30C)","G4",55,18,"N",0.165,0.143,NA,NA,0.418,0.291,0.15,NA,0.428,0.39028,NA,"EC",NA,-0.01434,NA
"409","S17",9,"Y4738","Sym","Control","Ambient (19C)","Tray",81,22,"N",0.264,NA,NA,0.251,NA,NA,NA,0.359,0.2791,NA,0.35462,NA,NA,NA,NA
"410","S12",4,"Y48","Sym","NDF","Elevated (30C)","G4",55,22,"N",0.281,0.273,0.268,0.263,0.273,0.119,0.043,0.126,0.34007,0.39979,0.52761,"SW",-0.00566,-0.00223,-0.00139
"411","A15",2,"Y4839","Apo","Control","Ambient (19C)","Tray",80,22,"N",0.146,NA,NA,0.133,NA,NA,NA,0.158,0.50024,NA,0.50909,NA,NA,NA,NA
"412","S13",3,"Y49","Sym","NDF","Elevated (30C)","G4",55,19,"N",0.142,0.134,0.152,NA,0.07,0.1,0.144,NA,0.31909,0.35336,NA,"EC",NA,-0.00353,NA
"413","S17",1,"Y4940","Sym","Control","Ambient (19C)","Tray",81,22,"N",0.12,NA,NA,0.119,NA,NA,NA,0.18,0.23331,NA,0.29616,"SW",NA,NA,-0.00515
"414","A9",8,"Y5","Apo","NLF","Elevated (30C)","H3",48,22,"N",0.312,0.303,0.296,0.277,0.16,0.132,0.066,0.247,0.5097,0.59895,0.47291,"SW",-0.04319,-0.01076,-0.00355
"415","S9",8,"Y50","Sym","NLF","Elevated (30C)","H4",56,9,"N",0.273,0.259,NA,NA,0.184,0.111,NA,NA,0.22688,0.30381,NA,"EC",-0.02395,NA,NA
"416","S11",1,"Y51","Sym","NLF","Elevated (30C)","H4",56,22,"N",0.103,0.098,0.096,0.097,0.255,0.159,0.141,0.454,0.36649,0.41947,0.37529,"SW",-0.00732,-0.00638,-0.0046
"417","A14",7,"Y517","Apo","Control","Ambient (19C)","Tray",78,22,"N",0.452,NA,NA,0.391,NA,NA,NA,0.095,0.33363,NA,0.55195,NA,NA,NA,NA
"418","S11",9,"Y52","Sym","NLF","Elevated (30C)","H4",56,18,"N",0.176,0.166,0.186,NA,0.175,0.258,0.047,NA,0.27066,0.42332,NA,"EC",-0.01249,-0.02434,NA
"419","S17",10,"Y5281","Sym","Control","Ambient (19C)","Tray",82,22,"N",0.204,NA,NA,0.194,NA,NA,NA,0.4,0.21086,NA,0.32899,"EC",NA,NA,-0.0936
"420","S12",5,"Y53","Sym","NLF","Elevated (30C)","H4",56,22,"N",0.328,0.274,0.28,0.274,0.156,0.124,0.091,0.474,0.33041,0.49837,0.35342,"SW",-0.00775,-0.02559,-0.00655
"421","A15",10,"Y5354","Apo","Control","Ambient (19C)","Tray",80,22,"N",0.159,NA,NA,0.152,NA,NA,NA,0.105,0.45748,NA,0.59066,NA,NA,NA,NA
"422","S13",4,"Y54","Sym","NLF","Elevated (30C)","H4",56,18,"N",0.234,0.224,0.23,NA,0.067,0.14,0.06,NA,0.35382,0.42708,NA,"EC",-0.01697,-0.01448,NA
"423","A12",1,"Y55","Apo","PDS","Elevated (30C)","A4",57,11,"N",0.115,0.098,NA,NA,0.221,0.061,NA,NA,0.42536,0.47632,NA,"EC",-0.0075,NA,NA
"424","A25",2,"Y56","Apo","PDS","Elevated (30C)","A4",57,22,"N",0.315,0.278,0.288,0.269,0.112,0.129,0.102,0.054,0.31395,0.52737,0.49841,"SW",-0.00813,-0.00266,-0.00182
"425","A12",17,"Y57","Apo","PDS","Elevated (30C)","A4",57,11,"N",0.191,0.177,0.288,NA,0.317,0.272,NA,NA,0.43119,0.54502,NA,"EC",-0.00619,NA,NA
"426","S18",6,"Y5755","Sym","Control","Ambient (19C)","Tray",81,22,"N",0.139,NA,NA,0.125,NA,NA,NA,0.394,0.41039,NA,0.47705,NA,NA,NA,NA
"427","A13",7,"Y58","Apo","PDS","Elevated (30C)","A4",57,22,"N",0.211,0.191,0.187,0.183,0.1,0.235,0.149,0.057,0.45335,0.67443,0.51869,"SW",-0.00922,-0.00478,-0.00358
"428","A13",14,"Y59","Apo","PDS","Elevated (30C)","A4",57,22,"N",0.164,0.158,0.145,0.148,0.058,0.306,0.432,0.212,0.68402,0.62753,0.62045,"EC",-0.0176,-0.01076,-0.00744
"429","A12",2,"Y60","Apo","PLS","Elevated (30C)","B4",58,22,"N",0.152,0.151,0.131,0.133,0.267,0.288,0.178,0.241,0.37883,0.35678,0.39215,"EC",-0.00524,-0.00266,-0.00881
"430","S19",8,"Y615","Sym","Control","Ambient (19C)","Tray",85,22,"N",0.26,NA,NA,0.243,NA,NA,NA,0.434,0.2058,NA,0.27043,"EC",NA,NA,-0.07092
"431","S19",5,"Y6172","Sym","Control","Ambient (19C)","Tray",82,22,"N",0.28,NA,NA,0.275,NA,NA,NA,0.404,0.24896,NA,0.3472,"SW",NA,NA,-0.01002
"432","A12",10,"Y62","Apo","PLS","Elevated (30C)","B4",58,11,"N",0.307,0.305,NA,NA,0.155,0.394,NA,NA,0.41029,0.44205,NA,"SW",-0.03432,NA,NA
"433","A12",18,"Y63","Apo","PLS","Elevated (30C)","B4",58,11,"N",0.269,0.27,NA,NA,0.124,0.282,NA,NA,0.62102,0.49607,NA,"EC",-0.03454,NA,NA
"434","S18",7,"Y6359","Sym","Control","Ambient (19C)","Tray",82,22,"N",0.202,NA,NA,0.176,NA,NA,NA,0.429,0.29441,NA,0.44997,NA,NA,NA,NA
"435","A13",8,"Y64","Apo","PLS","Elevated (30C)","B4",58,22,"N",0.162,0.16,0.135,0.131,0.117,0.1,0.09,0.095,0.55982,0.53657,0.5366,"SW",-0.0245,-0.00508,-0.00555
"436","A13",15,"Y65","Apo","PLS","Elevated (30C)","B4",58,22,"N",0.123,0.112,0.111,0.115,0.217,0.183,0.152,0.069,0.70353,0.615,0.57967,"EC",-0.0078,-0.00314,-0.01019
"437","S19",4,"Y6599","Sym","Control","Ambient (19C)","Tray",81,22,"N",0.215,NA,NA,0.212,NA,NA,NA,0.451,0.14198,NA,0.26127,"SW",NA,NA,-0.00559
"438","S17",5,"Y6688","Sym","Control","Ambient (19C)","Tray",85,22,"N",0.254,NA,NA,0.238,NA,NA,NA,0.45,0.2224,NA,0.39273,"SW",NA,NA,-0.00517
"439","A12",3,"Y67","Apo","NDS","Elevated (30C)","C4",59,22,"N",0.173,0.163,0.157,0.153,0.267,0.256,0.298,0.251,0.45933,0.46953,0.421,"EC",-0.0493,-0.00342,-0.00722
"440","S19",6,"Y6758","Sym","Control","Ambient (19C)","Tray",83,22,"N",0.309,NA,NA,0.288,NA,NA,NA,0.396,0.14836,NA,0.30689,"SW",NA,NA,-0.00532
"441","S18",2,"Y6806","Sym","Control","Ambient (19C)","Tray",85,22,"N",0.271,NA,NA,0.225,NA,NA,NA,0.352,0.37378,NA,0.39268,NA,NA,NA,NA
"442","S18",8,"Y6908","Sym","Control","Ambient (19C)","Tray",83,22,"N",0.258,NA,NA,0.245,NA,NA,NA,0.4,0.41946,NA,0.45866,NA,NA,NA,NA
"443","A25",7,"Y7","Apo","NLF","Elevated (30C)","H3",48,4,"N",0.394,NA,NA,NA,0.22,NA,NA,NA,0.38226,0.375,NA,NA,NA,NA,NA
"444","A12",11,"Y70","Apo","NDS","Elevated (30C)","C4",59,22,"N",0.193,0.184,0.118,0.173,0.154,0.32,0.2,0.212,0.61547,0.52967,0.52041,"SW",-0.00263,-0.00304,-0.00164
"445","S17",3,"Y7071","Sym","Control","Ambient (19C)","Tray",83,22,"N",0.23,NA,NA,0.23,NA,NA,NA,0.193,0.42856,NA,0.33358,"SW",NA,NA,-0.0024
"446","A13",1,"Y71","Apo","NDS","Elevated (30C)","C4",59,22,"N",0.213,0.198,0.182,0.178,0.099,0.133,0.2,0.133,0.24268,0.5194,0.46986,"EC",-0.10715,-0.01985,-0.00801
"447","A13",9,"Y72","Apo","NDS","Elevated (30C)","C4",59,22,"N",0.149,0.126,0.118,0.108,0.143,0.261,0.25,0.129,0.28384,0.43274,0.46898,"SW",-0.00226,-0.00354,-0.00354
"448","A13",16,"Y73","Apo","NDS","Elevated (30C)","C4",59,22,"N",0.265,0.265,0.245,0.232,0.079,0.172,0.329,0.247,0.6277,0.64842,0.57907,"EC",-0.02705,-0.00742,-0.00841
"449","S19",14,"Y7364","Sym","Control","Ambient (19C)","Tray",83,22,"N",0.533,NA,NA,0.497,NA,NA,NA,0.353,0.17732,NA,0.30404,"EC",NA,NA,-0.06303
"450","A12",4,"Y74","Apo","NLS","Elevated (30C)","D4",60,22,"N",0.159,0.154,0.162,0.151,0.16,0.202,0.193,0.304,0.49492,0.5825,0.4512,"EC",-0.02111,-0.04294,-0.06911
"451","S17",11,"Y7409","Sym","Control","Ambient (19C)","Tray",83,22,"N",0.272,NA,NA,0.257,NA,NA,NA,0.445,0.23551,NA,0.26159,NA,NA,NA,NA
"452","A12",12,"Y75","Apo","NLS","Elevated (30C)","D4",60,22,"N",0.191,0.154,0.144,0.138,0.099,0.253,0.206,0.26,0.62443,0.61323,0.58313,"SW",-0.01357,-0.00293,-0.00398
"453","A13",2,"Y76","Apo","NLS","Elevated (30C)","D4",60,22,"N",0.163,0.177,0.185,0.192,0.072,0.222,0.181,0.351,0.51238,0.63044,0.54957,"EC",-0.04568,-0.01931,-0.00917
"454","S17",2,"Y7679","Sym","Control","Ambient (19C)","Tray",82,22,"N",0.131,NA,NA,0.129,NA,NA,NA,0.389,0.22501,NA,0.32609,"SW",NA,NA,-0.0083
"455","A13",10,"Y77","Apo","NLS","Elevated (30C)","D4",60,22,"N",0.103,0.103,0.101,0.099,0.057,0.309,0.358,0.364,0.23476,0.5256,0.43558,"SW",-0.01254,-0.00599,-0.00528
"456","A13",17,"Y78","Apo","NLS","Elevated (30C)","D4",60,22,"N",0.308,0.259,0.243,0.247,0.185,0.302,0.202,0.162,0.47375,0.48248,0.43721,"EC",-0.03658,-0.05721,-0.03724
"457","A12",5,"Y79","Apo","PDF","Elevated (30C)","E4",61,22,"N",0.057,0.047,0.044,0.034,0.264,0.206,0.382,0.413,0.36109,0.45223,0.50338,"SW",-0.01721,-0.01881,0.001529
"458","A11",4,"Y8","Apo","NLF","Elevated (30C)","H3",48,22,"N",0.147,0.13,0.127,0.129,0.158,0.298,0.295,0.529,0.5609,0.5586,0.25497,"EC",-0.00663,-0.01414,-0.02195
"459","A12",13,"Y80","Apo","PDF","Elevated (30C)","E4",61,7,"N",0.295,NA,NA,NA,0.109,NA,NA,NA,0.54244,0.53595,NA,NA,NA,NA,NA
"460","A13",3,"Y82","Apo","PDF","Elevated (30C)","E4",61,22,"N",0.119,0.122,0.091,0.092,0.194,0.195,0.281,0.402,0.39005,0.48334,0.50112,"EC",-0.01165,-0.01392,-0.01137
"461","S19",15,"Y8291","Sym","Control","Ambient (19C)","Tray",84,22,"N",0.302,NA,NA,0.284,NA,NA,NA,0.392,0.22773,NA,0.30756,NA,NA,NA,NA
"462","A13",11,"Y83","Apo","PDF","Elevated (30C)","E4",61,22,"N",0.254,0.231,0.213,0.203,0.192,0.184,0.141,0.502,0.42311,0.50627,0.54766,"SW",-0.00916,-0.00552,0.000256
"463","A13",18,"Y84","Apo","PDF","Elevated (30C)","E4",61,22,"N",0.186,0.192,0.166,0.161,0.198,0.407,0.119,0.304,0.37035,0.46937,0.37576,"EC",-0.01277,-0.0078,-0.00983
"464","S19",7,"Y8483","Sym","Control","Ambient (19C)","Tray",84,22,"N",0.418,NA,NA,0.398,NA,NA,NA,0.341,0.2897,NA,0.34244,NA,NA,NA,NA
"465","A12",6,"Y85","Apo","PLF","Elevated (30C)","F4",62,6,"N",0.279,NA,NA,NA,0.262,NA,NA,NA,0.49301,0.45558,NA,NA,NA,NA,NA
"466","A12",14,"Y87","Apo","PLF","Elevated (30C)","F4",62,6,"N",0.416,NA,NA,NA,0.195,NA,NA,NA,0.65986,0.48913,NA,NA,NA,NA,NA
"467","S18",1,"Y8794","Sym","Control","Ambient (19C)","Tray",84,22,"N",0.081,NA,NA,0.067,NA,NA,NA,0.424,0.55507,NA,0.42371,"EC",NA,NA,-0.02718
"468","A13",4,"Y88","Apo","PLF","Elevated (30C)","F4",62,22,"N",0.178,0.147,0.152,0.149,0.133,0.162,0.212,0.369,0.53083,0.5871,0.52196,"EC",-0.05938,-0.07673,-0.15659
"469","S19",13,"Y8975","Sym","Control","Ambient (19C)","Tray",82,22,"N",0.354,NA,NA,0.344,NA,NA,NA,0.384,0.33319,NA,0.4074,NA,NA,NA,NA
"470","A12",7,"Y90","Apo","NDF","Elevated (30C)","G4",63,6,"N",0.074,NA,NA,NA,0.283,NA,NA,NA,0.4492,0.44445,NA,NA,NA,NA,NA
"471","A15",7,"Y914","Apo","Control","Ambient (19C)","Tray",77,22,"N",0.078,NA,NA,0.069,NA,NA,NA,0.277,0.47475,NA,0.55176,NA,NA,NA,NA
"472","A13",19,"Y92","Apo","PLF","Elevated (30C)","F4",62,22,"N",0.331,0.259,0.262,0.253,0.22,0.156,0.184,0.069,0.42705,0.54105,0.46698,"SW",-0.00438,-0.00293,-0.00371
"473","S18",10,"Y9278","Sym","Control","Ambient (19C)","Tray",85,22,"N",0.271,NA,NA,0.237,NA,NA,NA,0.429,0.22622,NA,0.39179,"SW",NA,NA,-0.00643
"474","A13",20,"Y93","Apo","PLF","Elevated (30C)","F4",62,22,"N",0.278,0.265,0.241,0.25,0.144,0.141,0.228,0.171,0.36918,0.48369,0.50467,"EC",-0.03477,-0.0519,-0.04972
"475","S20",1,"Y9398","Sym","Control","Ambient (19C)","Tray",85,22,"N",0.106,NA,NA,0.1,NA,NA,NA,0.414,0.3974,NA,0.34894,NA,NA,NA,NA
"476","A12",15,"Y94","Apo","NDF","Elevated (30C)","G4",63,6,"N",0.152,NA,NA,NA,0.299,NA,NA,NA,0.62684,0.4621,NA,NA,NA,NA,NA
"477","A13",5,"Y95","Apo","NDF","Elevated (30C)","G4",63,11,"N",0.176,0.143,NA,NA,0.253,0.27,NA,NA,0.34506,0.41019,NA,NA,NA,NA,NA
"478","S17",4,"Y9597","Sym","Control","Ambient (19C)","Tray",84,22,"N",0.192,NA,NA,0.186,NA,NA,NA,0.397,0.20635,NA,0.4109,NA,NA,NA,NA
"479","A13",12,"Y97","Apo","NDF","Elevated (30C)","G4",63,9,"N",0.389,NA,NA,NA,0.258,0.087,NA,NA,0.33089,0.49657,NA,"SW",-0.00753,NA,NA
"480","S18",9,"Y9885","Sym","Control","Ambient (19C)","Tray",84,22,"N",0.104,NA,NA,0.091,NA,NA,NA,0.409,0.27518,NA,0.45681,"SW",NA,NA,-0.00816
